YEARS,COUNT,PERCENTAGE
55.2,18,7.0E-4%
55.3,24,0.001%
55.4,26,0.001%
55.5,22,9.0E-4%
55.6,26,0.001%
55.7,22,9.0E-4%
55.8,21,8.0E-4%
55.9,17,7.0E-4%
56.0,55,0.0022%
56.1,19,8.0E-4%
56.2,25,0.001%
56.3,25,0.001%
56.4,30,0.0012%
56.5,21,8.0E-4%
56.6,14,6.0E-4%
56.7,23,9.0E-4%
56.8,19,8.0E-4%
56.9,19,8.0E-4%
57.0,50,0.002%
57.1,13,5.0E-4%
57.2,24,0.001%
57.3,21,8.0E-4%
57.4,22,9.0E-4%
57.5,21,8.0E-4%
57.6,28,0.0011%
57.7,24,0.001%
57.8,21,8.0E-4%
57.9,32,0.0013%
58.0,77,0.0031%
58.1,22,9.0E-4%
58.2,19,8.0E-4%
58.3,16,6.0E-4%
58.4,27,0.0011%
58.5,23,9.0E-4%
58.6,20,8.0E-4%
58.7,28,0.0011%
58.8,26,0.001%
58.9,18,7.0E-4%
59.0,53,0.0021%
59.1,27,0.0011%
59.2,17,7.0E-4%
59.3,20,8.0E-4%
59.4,31,0.0012%
59.5,38,0.0015%
59.6,28,0.0011%
59.7,27,0.0011%
59.8,25,0.001%
59.9,27,0.0011%
60.0,92,0.0037%
60.1,26,0.001%
60.2,28,0.0011%
60.3,31,0.0012%
60.4,32,0.0013%
60.5,27,0.0011%
60.6,25,0.001%
60.7,30,0.0012%
60.8,29,0.0012%
60.9,28,0.0011%
61.0,69,0.0028%
61.1,24,0.001%
61.2,32,0.0013%
61.3,28,0.0011%
61.4,23,9.0E-4%
61.5,30,0.0012%
61.6,24,0.001%
61.7,32,0.0013%
61.8,27,0.0011%
61.9,29,0.0012%
62.0,86,0.0034%
62.1,34,0.0014%
62.2,22,9.0E-4%
62.3,31,0.0012%
62.4,28,0.0011%
62.5,32,0.0013%
62.6,25,0.001%
62.7,12,5.0E-4%
62.8,33,0.0013%
62.9,26,0.001%
63.0,76,0.003%
63.1,29,0.0012%
63.2,29,0.0012%
63.3,23,9.0E-4%
63.4,37,0.0015%
63.5,28,0.0011%
63.6,35,0.0014%
63.7,29,0.0012%
63.8,31,0.0012%
63.9,32,0.0013%
64.0,79,0.0032%
64.1,37,0.0015%
64.2,44,0.0018%
64.3,36,0.0014%
64.4,31,0.0012%
64.5,23,9.0E-4%
64.6,31,0.0012%
64.7,32,0.0013%
64.8,32,0.0013%
64.9,29,0.0012%
65.0,103,0.0041%
65.1,26,0.001%
65.2,39,0.0016%
65.3,26,0.001%
65.4,43,0.0017%
65.5,32,0.0013%
65.6,28,0.0011%
65.7,42,0.0017%
65.8,36,0.0014%
65.9,35,0.0014%
66.0,107,0.0043%
66.1,31,0.0012%
66.2,42,0.0017%
66.3,35,0.0014%
66.4,33,0.0013%
66.5,30,0.0012%
66.6,47,0.0019%
66.7,36,0.0014%
66.8,45,0.0018%
66.9,36,0.0014%
67.0,83,0.0033%
67.1,36,0.0014%
67.2,30,0.0012%
67.3,45,0.0018%
67.4,28,0.0011%
67.5,34,0.0014%
67.6,34,0.0014%
67.7,37,0.0015%
67.8,39,0.0016%
67.9,33,0.0013%
68.0,84,0.0034%
68.1,37,0.0015%
68.2,43,0.0017%
68.3,28,0.0011%
68.4,38,0.0015%
68.5,47,0.0019%
68.6,33,0.0013%
68.7,37,0.0015%
68.8,37,0.0015%
68.9,34,0.0014%
69.0,76,0.003%
69.1,40,0.0016%
69.2,24,0.001%
69.3,28,0.0011%
69.4,50,0.002%
69.5,57,0.0023%
69.6,39,0.0016%
69.7,42,0.0017%
69.8,41,0.0016%
69.9,39,0.0016%
70.0,162,0.0065%
70.1,40,0.0016%
70.2,45,0.0018%
70.3,45,0.0018%
70.4,44,0.0018%
70.5,51,0.002%
70.6,37,0.0015%
70.7,41,0.0016%
70.8,40,0.0016%
70.9,40,0.0016%
71.0,106,0.0042%
71.1,42,0.0017%
71.2,39,0.0016%
71.3,36,0.0014%
71.4,35,0.0014%
71.5,41,0.0016%
71.6,37,0.0015%
71.7,42,0.0017%
71.8,33,0.0013%
71.9,37,0.0015%
72.0,121,0.0048%
72.1,44,0.0018%
72.2,46,0.0018%
72.3,52,0.0021%
72.4,46,0.0018%
72.5,44,0.0018%
72.6,40,0.0016%
72.7,36,0.0014%
72.8,39,0.0016%
72.9,37,0.0015%
73.0,95,0.0038%
73.1,53,0.0021%
73.2,46,0.0018%
73.3,29,0.0012%
73.4,42,0.0017%
73.5,45,0.0018%
73.6,50,0.002%
73.7,50,0.002%
73.8,45,0.0018%
73.9,42,0.0017%
74.0,95,0.0038%
74.1,65,0.0026%
74.2,43,0.0017%
74.3,54,0.0022%
74.4,41,0.0016%
74.5,44,0.0018%
74.6,51,0.002%
74.7,48,0.0019%
74.8,48,0.0019%
74.9,50,0.002%
75.0,97,0.0039%
75.1,60,0.0024%
75.2,52,0.0021%
75.3,46,0.0018%
75.4,45,0.0018%
75.5,50,0.002%
75.6,41,0.0016%
75.7,49,0.002%
75.8,41,0.0016%
75.9,43,0.0017%
76.0,87,0.0035%
76.1,65,0.0026%
76.2,48,0.0019%
76.3,58,0.0023%
76.4,60,0.0024%
76.5,49,0.002%
76.6,49,0.002%
76.7,53,0.0021%
76.8,43,0.0017%
76.9,45,0.0018%
77.0,72,0.0029%
77.1,50,0.002%
77.2,50,0.002%
77.3,51,0.002%
77.4,72,0.0029%
77.5,34,0.0014%
77.6,48,0.0019%
77.7,56,0.0022%
77.8,36,0.0014%
77.9,60,0.0024%
78.0,67,0.0027%
78.1,72,0.0029%
78.2,48,0.0019%
78.3,53,0.0021%
78.4,40,0.0016%
78.5,47,0.0019%
78.6,53,0.0021%
78.7,46,0.0018%
78.8,50,0.002%
78.9,54,0.0022%
79.0,54,0.0022%
79.1,84,0.0034%
79.2,52,0.0021%
79.3,36,0.0014%
79.4,41,0.0016%
79.5,65,0.0026%
79.6,33,0.0013%
79.7,48,0.0019%
79.8,51,0.002%
79.9,47,0.0019%
80.0,50,0.002%
80.1,143,0.0057%
80.2,39,0.0016%
80.3,53,0.0021%
80.4,44,0.0018%
80.5,64,0.0026%
80.6,45,0.0018%
80.7,33,0.0013%
80.8,40,0.0016%
80.9,40,0.0016%
81.0,45,0.0018%
81.1,94,0.0038%
81.2,39,0.0016%
81.3,52,0.0021%
81.4,36,0.0014%
81.5,39,0.0016%
81.6,43,0.0017%
81.7,50,0.002%
81.8,52,0.0021%
81.9,38,0.0015%
82.0,36,0.0014%
82.1,93,0.0037%
82.2,39,0.0016%
82.3,37,0.0015%
82.4,40,0.0016%
82.5,42,0.0017%
82.6,41,0.0016%
82.7,41,0.0016%
82.8,53,0.0021%
82.9,42,0.0017%
83.0,36,0.0014%
83.1,76,0.003%
83.2,36,0.0014%
83.3,49,0.002%
83.4,36,0.0014%
83.5,23,9.0E-4%
83.6,50,0.002%
83.7,59,0.0024%
83.8,45,0.0018%
83.9,47,0.0019%
84.0,31,0.0012%
84.1,85,0.0034%
84.2,29,0.0012%
84.3,35,0.0014%
84.4,37,0.0015%
84.5,41,0.0016%
84.6,41,0.0016%
84.7,36,0.0014%
84.8,43,0.0017%
84.9,25,0.001%
85.0,31,0.0012%
85.1,86,0.0034%
85.2,30,0.0012%
85.3,36,0.0014%
85.4,40,0.0016%
85.5,44,0.0018%
85.6,31,0.0012%
85.7,35,0.0014%
85.8,33,0.0013%
85.9,35,0.0014%
86.0,42,0.0017%
86.1,74,0.003%
86.2,40,0.0016%
86.3,35,0.0014%
86.4,37,0.0015%
86.5,26,0.001%
86.6,36,0.0014%
86.7,29,0.0012%
86.8,43,0.0017%
86.9,21,8.0E-4%
87.0,43,0.0017%
87.1,56,0.0022%
87.2,39,0.0016%
87.3,31,0.0012%
87.4,40,0.0016%
87.5,25,0.001%
87.6,31,0.0012%
87.7,32,0.0013%
87.8,32,0.0013%
87.9,22,9.0E-4%
88.0,37,0.0015%
88.1,53,0.0021%
88.2,39,0.0016%
88.3,27,0.0011%
88.4,20,8.0E-4%
88.5,35,0.0014%
88.6,31,0.0012%
88.7,26,0.001%
88.8,29,0.0012%
88.9,27,0.0011%
89.0,20,8.0E-4%
89.1,60,0.0024%
89.2,20,8.0E-4%
89.3,21,8.0E-4%
89.4,23,9.0E-4%
89.5,26,0.001%
89.6,27,0.0011%
89.7,24,0.001%
89.8,27,0.0011%
89.9,31,0.0012%
90.0,18,7.0E-4%
90.1,66,0.0026%
90.2,21,8.0E-4%
90.3,19,8.0E-4%
90.4,23,9.0E-4%
90.5,25,0.001%
90.6,21,8.0E-4%
90.7,19,8.0E-4%
90.8,19,8.0E-4%
90.9,25,0.001%
91.0,21,8.0E-4%
91.1,35,0.0014%
91.2,15,6.0E-4%
91.3,18,7.0E-4%
91.4,22,9.0E-4%
91.5,19,8.0E-4%
91.6,20,8.0E-4%
91.7,8,3.0E-4%
91.8,18,7.0E-4%
91.9,26,0.001%
92.0,11,4.0E-4%
92.1,39,0.0016%
92.2,17,7.0E-4%
92.3,17,7.0E-4%
92.4,19,8.0E-4%
92.5,12,5.0E-4%
92.6,16,6.0E-4%
92.7,13,5.0E-4%
92.8,9,4.0E-4%
92.9,15,6.0E-4%
93.0,12,5.0E-4%
93.1,28,0.0011%
93.2,11,4.0E-4%
93.3,15,6.0E-4%
93.4,11,4.0E-4%
93.5,13,5.0E-4%
93.6,15,6.0E-4%
93.7,6,2.0E-4%
93.8,15,6.0E-4%
93.9,13,5.0E-4%
94.0,14,6.0E-4%
94.1,29,0.0012%
94.2,12,5.0E-4%
94.3,15,6.0E-4%
94.4,14,6.0E-4%
94.5,8,3.0E-4%
94.6,8,3.0E-4%
94.7,11,4.0E-4%
94.8,10,4.0E-4%
94.9,7,3.0E-4%
95.0,7,3.0E-4%
95.1,28,0.0011%
95.2,6,2.0E-4%
95.3,6,2.0E-4%
95.4,9,4.0E-4%
95.5,7,3.0E-4%
95.6,6,2.0E-4%
95.7,10,4.0E-4%
95.8,12,5.0E-4%
95.9,8,3.0E-4%
96.0,13,5.0E-4%
96.1,29,0.0012%
96.2,7,3.0E-4%
96.3,13,5.0E-4%
96.4,4,2.0E-4%
96.5,7,3.0E-4%
96.6,1,0.0%
96.7,4,2.0E-4%
96.8,4,2.0E-4%
96.9,9,4.0E-4%
97.0,6,2.0E-4%
97.1,21,8.0E-4%
97.2,8,3.0E-4%
97.3,6,2.0E-4%
97.4,5,2.0E-4%
97.5,9,4.0E-4%
97.6,10,4.0E-4%
97.7,6,2.0E-4%
97.8,5,2.0E-4%
97.9,2,1.0E-4%
98.0,6,2.0E-4%
98.1,14,6.0E-4%
98.2,2,1.0E-4%
98.3,6,2.0E-4%
98.4,2,1.0E-4%
98.5,5,2.0E-4%
98.6,5,2.0E-4%
98.7,10,4.0E-4%
98.8,5,2.0E-4%
98.9,2,1.0E-4%
99.0,3,1.0E-4%
99.1,25,0.001%
99.2,7,3.0E-4%
99.3,3,1.0E-4%
99.4,3,1.0E-4%
99.5,3,1.0E-4%
99.6,9,4.0E-4%
99.7,11,4.0E-4%
99.8,7,3.0E-4%
99.9,4,2.0E-4%
100.0,9,4.0E-4%
100.1,120,0.0048%
100.2,6,2.0E-4%
100.3,6,2.0E-4%
100.4,7,3.0E-4%
100.5,3,1.0E-4%
100.6,3,1.0E-4%
100.7,1,0.0%
100.8,2,1.0E-4%
100.9,5,2.0E-4%
101.0,2,1.0E-4%
101.1,7,3.0E-4%
101.2,2,1.0E-4%
101.3,1,0.0%
101.4,4,2.0E-4%
101.6,2,1.0E-4%
101.7,2,1.0E-4%
101.8,3,1.0E-4%
101.9,3,1.0E-4%
102.0,1,0.0%
102.1,9,4.0E-4%
102.2,2,1.0E-4%
